paper_id,Cluster,share_pct
5633,11,21.3071762811
5633,6,18.1962991891
5633,7,16.4926864687
5633,8,10.665766604
5633,10,6.02066714426
5633,5,5.41100984638
5633,9,4.65212489525
5633,4,4.55739445095
5633,1,4.32074000921
5633,14,4.23077973801
5633,3,3.07660463045
5633,13,0.461881718732
5633,12,0.441005228093
5633,0,0.165863795756
5634,7,21.4889506443
5634,11,20.6714955888
5634,6,17.5067126432
5634,8,10.5261800932
5634,5,5.58267978956
5634,9,5.46540573974
5634,1,4.58732620727
5634,4,2.80637693801
5634,2,2.47441751514
5634,14,2.39161561048
5634,10,2.32408997133
5634,13,1.80182841363
5634,3,1.65538979364
5634,12,0.488205822683
5634,0,0.229325229048
5635,6,25.9092655374
5635,7,22.0487339819
5635,8,10.7614950041
5635,11,10.7310768128
5635,5,6.04399384301
5635,14,4.53485749278
5635,1,3.90763860769
5635,4,3.2560384903
5635,9,2.96375595661
5635,3,2.91081974989
5635,2,2.4783252918
5635,10,2.12959067823
5635,13,1.54089334318
5635,12,0.52609955563
5635,0,0.257415654716
5636,7,20.7901235469
5636,11,20.3914056949
5636,8,10.4787406995
5636,9,9.74538864415
5636,6,6.70080943337
5636,5,6.16703497103
5636,4,6.12012249173
5636,1,5.67928714654
5636,10,4.91177054678
5636,14,3.35657040275
5636,3,2.52650734214
5636,13,2.13630869414
5636,0,0.551908735085
5636,12,0.444021651095
5637,2,25.50963934
5637,6,23.4525985354
5637,11,13.606312841
5637,7,12.2698790823
5637,5,6.43617312918
5637,8,4.32787875173
5637,9,3.25032346317
5637,1,2.8508366495
5637,3,2.37708224503
5637,4,2.10698700062
5637,14,1.68653218137
5637,10,0.99364446603
5637,13,0.683103503297
5637,12,0.282199200981
5637,0,0.166809610429
5638,7,23.7925231565
5638,11,17.9029397842
5638,9,11.6027567235
5638,2,10.888558911
5638,8,9.95140506263
5638,6,4.91918547581
5638,14,4.52066079044
5638,5,3.92458958956
5638,3,3.1115625344
5638,10,2.91174556362
5638,4,2.80299104783
5638,1,2.44362179444
5638,13,0.527332703806
5638,12,0.497924444384
5638,0,0.202202417966
5639,11,20.9991528066
5639,6,20.901093482
5639,7,17.192937034
5639,8,8.58310801457
5639,5,7.32196947004
5639,9,7.1119141414
5639,14,4.33629165598
5639,4,4.28403928098
5639,1,3.39977232663
5639,3,2.51331467471
5639,10,2.2663325116
5639,12,0.510327262305
